SU_ID,POLLCLOSE_STATE_WEIGHT,POLLCLOSE_NATIONAL_WEIGHT,FINALVOTE_STATE_WEIGHT,FINALVOTE_NATIONAL_WEIGHT,P_STATE,STATENUM,LVA,LVB,LV,LIKELYVOTER,TIMEVOTE,TRUMPFACTOR3,FAVSENDEM,FAVSENREP,PARTYCONTROL,GETAHEAD,TRADENATIONALECON,TRADELOCALECON,HEALTHLAW,IMMDEPORT,RUSSIA,QPVVOTE,FIRSTTIME,QPVVOTE3,BREAKA,BREAKB,BREAKC,SEX,AGE65,RACETH,RACETH5,EDUC,INCOME,PARTY,PARTYFULL,IDEO,RELIG,RELIG4,SIZEPLACE,FORMFLAG
20000058,86.625560239,83.562187023,57.404244764,55.731959075,(MT) Montana,(26) Montana,(1) Extremely interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(2) Voted to express opposition for Trump,(1) Very favorable,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(3) Not too important,(2) Holding steady,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(2) Women,(6) 65+,(1) White,(1) White,(2) Some college/assoc. degree,"(2) $25,000-$49,999",(3) Neither,(3) Independent,(2) Somewhat liberal,(4) Other Christian,(1) Protestant/Other Christian,(4) Rural,(2) Form 2
20000102,231.67921146,223.48624983,156.73656158,178.51505766,(KS) Kansas,(16) Kansas,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(2) Early/Absentee,(3) Trump was not a factor,,,,(1) Getting ahead,(1) Help,(2) Hurt,(1) Repeal the law entirely,(1) Offered a chance to apply for legal status,(2) No,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(2) No, it is not",(2) I decided over the course of the campaign,(1) Men,(4) 40-49,(1) White,(1) White,(4) Postgraduate study,"(4) $75,000-$99,999",(3) Neither,(2) Republican/Lean Rep,(4) Somewhat conservative,(1) Protestant,(1) Protestant/Other Christian,(3) Small town,(3) Form 3
20000106,7639.065341,7368.9221166,502.2370881,484.47628357,(FL) Florida,(9) Florida,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(3) Trump was not a factor,(1) Very favorable,(4) Very unfavorable,(2) Somewhat important,(3) Falling behind,(3) No difference,(1) Help,(2) Repeal parts of the law,(1) Offered a chance to apply for legal status,(99) DON'T KNOW/SKIPPED/REFUSED (VOL),"(3) I usually vote, but I didn't in the 2016 presidential election",(2) Not,"(2) I thought about voting in the 2014 election for Congress, but didn't","(2) No, it is not","(1) Yes, it is",(1) I've known all along,(1) Men,(5) 50-64,(88) REMOVED FOR DISCLOSURE RISK,(2) African American or Black,(1) High school or less,"(5) $100,000 or more",(1) Democrat,(1) Democrat/Lean Dem,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(7) Something else,(3) Other,(3) Small town,(2) Form 2
20000165,34.95993254,33.723630914,37.813305669,36.958378294,(MT) Montana,(26) Montana,(1) Extremely interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(2) Voted to express opposition for Trump,(1) Very favorable,(4) Very unfavorable,(1) Very important,(3) Falling behind,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(1) Men,(6) 65+,(1) White,(1) White,(4) Postgraduate study,"(3) $50,000-$74,999",(1) Democrat,(1) Democrat/Lean Dem,(1) Very liberal,(2) Catholic,(2) Catholic,(3) Small town,(3) Form 3
20000191,4.811466706,4.6413169466,3.857918026,3.6703197928,(NH) New Hampshire,(30) New Hampshire,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(1) Voted to express support for Trump,,,,(1) Getting ahead,(1) Help,(1) Help,(2) Repeal parts of the law,(1) Offered a chance to apply for legal status,(2) No,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(1) Yes, it is","(2) No, it is not",(2) I decided over the course of the campaign,(1) Men,(5) 50-64,(3) Latino or Hispanic,(3) Latino or Hispanic,(4) Postgraduate study,"(5) $100,000 or more",(2) Republican,(2) Republican/Lean Rep,(4) Somewhat conservative,(1) Protestant,(1) Protestant/Other Christian,(2) Suburban,(4) Form 4
20000268,441.6087127,425.99193286,344.04544434,358.49636676,(TN) Tennessee,(42) Tennessee,(2) Very interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(2) Voted to express opposition for Trump,(2) Somewhat favorable,(4) Very unfavorable,(2) Somewhat important,(2) Holding steady,(2) Hurt,(2) Hurt,(2) Repeal parts of the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,"(3) I usually vote, but I didn't in the 2014 election for Congress","(1) Yes, it is","(1) Yes, it is",(2) I decided over the course of the campaign,(1) Men,(5) 50-64,(88) REMOVED FOR DISCLOSURE RISK,(1) White,(3) College graduate,"(5) $100,000 or more",(3) Neither,(2) Republican/Lean Rep,(3) Moderate,(1) Protestant,(1) Protestant/Other Christian,(1) Urban,(1) Form 1
20000294,1479.9931227,1427.655553,909.66542781,1190.0914285,(MA) Massachusetts,(19) Massachusetts,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(1) Very favorable,(4) Very unfavorable,(1) Very important,(2) Holding steady,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(2) I decided over the course of the campaign,(2) Women,(5) 50-64,(88) REMOVED FOR DISCLOSURE RISK,(1) White,(3) College graduate,"(5) $100,000 or more",(1) Democrat,(1) Democrat/Lean Dem,(3) Moderate,(2) Catholic,(2) Catholic,(2) Suburban,(1) Form 1
20000321,371.58424852,358.44377091,288.58863167,273.22958787,(NJ) New Jersey,(31) New Jersey,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(2) Somewhat favorable,(2) Somewhat favorable,(2) Somewhat important,(2) Holding steady,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(2) I decided over the course of the campaign,(1) Men,(6) 65+,(1) White,(1) White,(4) Postgraduate study,"(5) $100,000 or more",(3) Neither,(1) Democrat/Lean Dem,(2) Somewhat liberal,(8) None,(4) Unaffiliated,(2) Suburban,(2) Form 2
20000442,390.7176409,376.90054173,350.69636031,281.07671179,(TX) Texas,(43) Texas,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(1) Very favorable,(4) Very unfavorable,(1) Very important,(1) Getting ahead,(2) Hurt,(2) Hurt,(2) Repeal parts of the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(1) Men,(6) 65+,(88) REMOVED FOR DISCLOSURE RISK,(5) Other,(3) College graduate,"(3) $50,000-$74,999",(1) Democrat,(1) Democrat/Lean Dem,(2) Somewhat liberal,(1) Protestant,(1) Protestant/Other Christian,(3) Small town,(1) Form 1
20000464,936.63793956,903.51524957,749.36554605,721.66743826,(GA) Georgia,(10) Georgia,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(2) Early/Absentee,(2) Voted to express opposition for Trump,,,,(3) Falling behind,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(2) Women,(5) 50-64,(88) REMOVED FOR DISCLOSURE RISK,(1) White,(2) Some college/assoc. degree,"(2) $25,000-$49,999",(1) Democrat,(1) Democrat/Lean Dem,(1) Very liberal,(5) Jewish,(3) Other,(2) Suburban,(3) Form 3
