UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ
1,98600,1,5972.1667
1,24360,1,5854.5
1,80200,1,5506.6666
1,150500,1,8968.8912
1,130000,1,10092.8333
1,32836,1,5520.2667
1,1660,1,2110
1,111808,1,18065.7368
1,6204,1,1048.3333
1,106000,1,12749.25
1,183000,4,7093.0166
1,5010,1,16376.4
1,21528,6,9068.7001
1,33143,1,2842.25
1,100800,1,16928.4998
1,105000,1,8186.8334
1,100001,1,23244.1001
1,62150,6,25096.85
1,20712,5,3422.8333
1,157200,1,9457.2
1,62000,1,10761.6667
1,100000,1,12754.75
1,25082,1,2103.8333
1,45164,1,6681.9001
1,8400,1,2381.6
1,61000,1,10814.25
1,40000,1,4369
1,62712,2,6520.9332
1,45000,1,3668.2501
1,100000,1,13595.7999
1,29076,2,1764.9333
1,40000,4,13166.9999
1,94200,1,14568.4
1,8268,1,2479.4
1,126000,1,5929.4499
1,24000,1,8569.4001
1,68000,1,3476.9166
1,148808,1,19771.4
1,64132,1,7148.4001
1,24500,1,5080.05
1,44512,1,15129.6001
1,10000,1,2291.25
1,94200,1,9133.1667
1,37344,1,2200.9333
1,33186,1,17444.8
1,91100,1,4456.75
1,31810,1,39030.8101
1,65000,2,7611.2501
2,72010,2,7628.5
1,29616,1,5137.8
1,52000,1,10688.9
1,136250,1,4027
1,33034,1,5717.4
2,47016,1,10872.7579
1,70612,1,13540.1501
1,11232,1,5542.9501
1,25000,2,3557.2501
1,461103,1,11688.6666
1,130112,2,12127.3333
2,14376,1,5928.6667
1,30000,1,9012
1,90000,4,25520.25
1,89000,1,15389.2002
1,92000,1,17023.4001
1,413302,1,16133.85
1,60000,1,10262.7499
1,57879,1,52902.2602
1,66000,1,12702.25
1,39562,2,8806.5001
1,147706,1,8755.6669
1,153000,1,10243.5001
1,27000,4,5389.5001
1,43000,1,5862.2001
1,60408,2,4431.8001
1,24100,2,7191.9501
1,17208,1,3293.9333
1,74875,1,14337.2499
2,28475,1,3811.9333
1,36223,1,4323.6
1,57000,1,3807.55
1,60250,1,6818.0333
1,16716,1,6065
1,10530,1,753.6667
1,25000,1,27843.8334
1,43000,1,5160.8334
1,17000,2,17660.0999
1,3216,1,2664.2667
1,26520,4,8350.3333
1,3216,1,2485.6
1,200000,1,24089.6667
1,134000,1,22739.5335
1,3216,1,4957.8667
1,84108,1,15862.0333
1,38816,1,9864.05
1,28000,1,6897.2501
1,61568,1,13771.8
2,28560,1,6662.3999
1,75000,1,5167.4456
1,85000,1,13177.7501
1,86000,1,13153.4999
1,35000,1,9120.2502
1,4296,1,5706.9333
1,82700,1,18950.0001
1,60000,1,8483.3333
1,58000,1,5349.75
1,67368,1,14276.9334
1,25500,4,2218.9166
1,75000,4,11484.5001
1,102773,1,7832.4167
1,70000,1,10455.4244
1,2100,1,1904.4167
1,3310,1,5087.9333
1,12000,2,2084.9
2,7000,1,3734.5999
1,59016,1,6768.85
1,130000,2,17450.7499
1,22404,2,3463.2001
1,3216,1,3997.8
1,11835,6,1612.25
1,111664,1,10254.3333
1,100000,1,2318.0667
1,34000,1,2609.2666
1,22000,1,8890.25
1,70540,1,17381.95
1,50000,1,19081.25
1,21766,1,4680.4
1,95080,1,27511
1,328386,1,38534.2499
1,14364,1,1860.4667
1,21788,1,3879.0333
2,40000,1,5947.6667
1,68000,1,2721.1833
1,75000,1,6699.3334
