"","SEX","RACE","MAR","LANX","WAOB","DIS","HICOV","MIG","SCH"
"1",2,1,1,2,1,2,1,3,1
"2",1,1,1,2,1,2,1,3,1
"3",2,6,5,2,4,2,1,2,1
"4",1,1,3,2,1,2,2,1,1
"5",2,1,1,2,1,2,1,1,1
"6",1,1,1,1,1,2,1,1,1
"7",1,1,1,2,1,2,1,1,1
"8",2,1,1,2,1,2,1,1,1
"9",1,6,1,2,1,2,1,1,1
"10",2,6,1,2,4,2,1,1,1
"11",1,1,1,2,1,2,1,1,1
"12",2,1,1,1,1,2,1,1,1
"13",1,1,5,2,1,2,2,1,1
"14",1,1,1,2,1,2,1,1,1
"15",2,1,1,2,1,2,1,1,1
"16",2,1,1,2,1,2,1,1,1
"17",1,1,1,2,1,2,1,1,1
"18",2,1,4,2,1,1,1,3,1
"19",1,1,5,2,1,1,2,1,2
"20",2,1,3,2,1,2,1,3,1
"21",1,5,5,2,1,2,1,3,1
"22",2,1,1,2,1,2,1,1,1
"23",1,1,1,2,7,2,1,1,1
"24",1,2,5,2,1,2,1,3,1
"25",2,1,1,2,1,2,1,1,1
"26",1,1,1,2,1,2,1,1,1
"27",2,1,5,2,1,1,1,1,2
"28",2,1,2,2,1,2,1,1,1
"29",1,1,1,2,1,2,1,3,1
"30",2,1,1,2,1,1,1,3,1
"31",1,1,5,2,1,1,1,3,1
"32",2,1,5,2,1,1,1,3,1
"33",1,1,1,2,1,2,1,1,1
"34",2,1,1,1,3,2,1,1,1
"35",2,1,1,2,1,2,1,1,1
"36",1,1,1,2,1,2,1,1,1
"37",1,1,3,2,1,2,1,1,1
"38",2,1,5,2,1,2,1,3,3
"39",1,1,5,2,1,2,2,3,2
"40",2,1,5,2,1,2,1,3,2
"41",2,1,5,2,1,2,1,3,3
"42",2,1,2,2,1,1,1,1,1
"43",1,2,1,2,1,1,1,1,1
"44",2,2,1,2,1,2,1,1,1
"45",1,1,1,2,1,2,1,1,1
"46",2,1,1,2,1,2,1,1,1
"47",1,1,1,2,1,2,1,1,1
"48",2,1,1,2,1,2,1,1,1
"49",2,1,3,2,1,2,1,1,1
"50",1,1,1,2,1,2,1,1,1
"51",2,1,1,2,1,2,2,1,1
"52",2,1,2,2,1,1,1,1,1
"53",1,1,1,2,1,2,1,1,1
"54",2,1,1,2,1,2,1,1,1
"55",2,1,1,2,1,2,1,1,1
"56",1,1,1,2,1,2,1,1,1
"57",1,1,1,2,1,2,1,1,1
"58",2,1,1,2,1,2,1,1,2
"59",1,1,5,2,1,2,1,1,1
"60",2,1,1,2,1,2,1,3,1
"61",1,5,1,2,1,2,1,1,1
"62",1,1,1,2,1,2,1,1,1
"63",2,1,1,2,1,2,1,1,1
"64",1,1,1,2,1,2,1,1,1
"65",2,1,1,2,1,2,1,1,1
"66",2,1,5,2,1,2,2,1,1
"67",1,1,3,2,1,2,1,1,1
"68",2,1,2,1,3,2,1,1,1
"69",1,1,5,2,1,2,1,1,1
"70",1,1,1,2,1,1,1,1,1
"71",2,1,1,2,1,2,1,1,1
"72",1,1,3,2,1,1,1,1,2
"73",2,2,4,2,1,2,2,3,1
"74",2,1,2,2,1,2,2,1,1
"75",1,1,5,1,3,2,2,1,1
"76",2,1,2,2,5,1,1,1,1
"77",1,1,1,2,1,2,1,1,1
"78",2,1,1,2,1,2,1,1,1
"79",1,1,1,2,1,1,1,1,1
"80",2,1,1,2,1,2,1,1,1
"81",2,1,3,2,1,2,1,1,1
"82",2,1,4,2,1,1,2,1,1
"83",1,1,1,2,1,2,1,1,1
"84",2,1,1,2,1,2,1,1,1
"85",1,6,1,2,4,2,1,1,1
"86",2,6,1,2,4,2,1,2,1
"87",2,1,1,2,1,1,1,1,1
"88",1,1,1,2,1,2,1,1,1
"89",1,1,5,2,1,2,2,1,1
"90",2,1,3,2,1,2,2,1,1
"91",1,1,3,2,1,2,1,1,1
"92",2,1,2,2,1,1,1,1,1
"93",2,1,3,2,1,2,1,1,1
"94",1,2,5,2,1,2,2,1,1
"95",2,2,5,1,1,2,1,3,1
"96",1,2,3,2,1,2,2,1,1
"97",2,1,1,2,1,2,1,1,1
"98",1,1,1,2,1,2,1,1,1
"99",2,2,3,2,1,2,1,3,1
"100",1,1,5,2,1,2,1,1,1
"101",2,3,2,2,1,2,1,1,1
"102",1,1,5,2,1,2,1,1,1
"103",1,1,1,2,1,1,1,1,1
"104",2,1,1,2,1,2,1,1,1
"105",1,1,5,1,1,2,1,1,1
"106",1,1,1,1,1,2,1,3,1
"107",2,2,5,2,1,1,1,1,1
"108",1,1,1,2,1,2,1,1,1
"109",2,1,1,2,1,2,1,1,1
"110",2,2,3,2,1,1,1,1,1
"111",1,2,1,1,1,2,1,1,1
"112",2,2,1,2,1,2,1,1,1
"113",2,1,5,2,1,1,2,1,3
"114",1,1,1,2,1,2,1,1,1
"115",2,1,1,2,1,2,1,1,2
"116",2,1,5,2,1,2,1,3,3
"117",1,1,1,2,1,2,1,1,1
"118",2,1,1,2,1,2,1,1,1
"119",2,1,2,2,1,2,1,1,1
"120",2,1,3,2,1,2,2,1,1
"121",2,2,4,2,1,2,1,1,1
"122",1,1,1,2,1,1,1,1,1
"123",2,1,1,2,1,2,2,1,1
"124",1,1,4,2,1,2,1,1,1
"125",2,1,2,2,1,1,1,1,1
"126",1,1,1,2,1,2,1,1,1
"127",2,1,1,2,1,1,1,1,1
"128",2,1,3,2,1,2,1,1,1
"129",1,2,5,2,1,2,1,3,1
"130",1,1,5,2,1,2,1,3,1
"131",2,1,5,2,1,2,2,3,1
"132",2,1,1,2,1,2,1,1,1
"133",1,4,1,2,1,2,1,1,1
"134",2,2,2,2,1,1,1,1,1
"135",2,1,5,1,1,2,1,3,1
"136",1,1,1,2,1,2,2,1,1
"137",2,1,1,1,1,2,1,1,1
"138",1,1,1,2,1,2,1,1,1
